
File                                                                                                                    Lines Complexity
----                                                                                                                    ----- ----------
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.OPC\OpcUaClientFactory.cs                                                   279         26
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Infrastructure\Migrations_Backup\20260104194312_InitialCreate.cs            149         26
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Infrastructure\Migrations_Backup\20260104194312_InitialCreate.Designer.cs   196         26
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Infrastructure\Migrations_Backup\PlcLabDbContextModelSnapshot.cs            193         26
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Infrastructure\Services\SeederHostedService.cs                              217         23
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Infrastructure\Migrations\20260110174129_InitialCreate.cs                   149         17
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Infrastructure\Migrations\20260110174129_InitialCreate.Designer.cs          196         15
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Infrastructure\Migrations\PlcLabDbContextModelSnapshot.cs                   193         15
F:\git\jh\PlcLab-Docker-OPC-Blazor\tests\PlcLab.Web.Tests\LayerTests.cs                                                   112         14
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Application\TestRunOrchestrator.cs                                           85         12
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Domain\TestCaseValidator.cs                                                  59         11
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Domain\DomainEvents.cs                                                       29         10
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Web\Api\TestPlansApi.cs                                                      53         10
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Web\Program.cs                                                               87          7
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Web\ViewModel\IndexViewModel.cs                                             139          4
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Infrastructure\Services\BrowseService.cs                                     39          4
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Infrastructure\Services\LiveSignalSubscriptionService.cs                     61          4
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Domain\TestEntities.cs                                                       43          3
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Web\Api\SeedInfoApi.cs                                                       48          3
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Web\Services\SeedDataClient.cs                                               59          2
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Web\Services\OpenTelemetryService.cs                                         50          2
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Web\Services\OpcUaEndpointService.cs                                         45          2
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Web\Services\ConnectionStatusService.cs                                     121          2
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Web\Components\LiveSignals.razor.cs                                          73          2
F:\git\jh\PlcLab-Docker-OPC-Blazor\tests\PlcLab.Web.Tests\Solidtests.cs                                                    26          2
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Infrastructure\PlcLabDbContext.cs                                            32          2
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Infrastructure\Services\IPlcService.cs                                       21          2
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Web\Api\TestRunsApi.cs                                                       79          2
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.OPC\IOpcUaClientFactory.cs                                                   27          1
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Infrastructure\SeedInfo.cs                                                   31          1
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.OPC\SerilogLoggerFactory.cs                                                  18          0
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Infrastructure\PlcLabConstants.cs                                            14          0
F:\git\jh\PlcLab-Docker-OPC-Blazor\tests\PlcLab.Web.Tests\IndexViewModelTests.cs                                           66          0
F:\git\jh\PlcLab-Docker-OPC-Blazor\src\PlcLab.Infrastructure\SeedDemoData.cs                                               18          0

